availability,price,product_page_url,rating,title
In stock,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,star-rating Three,A Light in the Attic
In stock,£53.74,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,star-rating One,Tipping the Velvet
In stock,£50.10,https://books.toscrape.com/catalogue/soumission_998/index.html,star-rating One,Soumission
In stock,£47.82,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,star-rating Four,Sharp Objects
In stock,£54.23,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,star-rating Five,Sapiens: A Brief History of Humankind
In stock,£22.65,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,star-rating One,The Requiem Red
In stock,£33.34,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,star-rating Four,The Dirty Little Secrets of Getting Your Dream Job
In stock,£17.93,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,star-rating Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
In stock,£22.60,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,star-rating Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
In stock,£52.15,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,star-rating One,The Black Maria
In stock,£13.99,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,star-rating Two,"Starving Hearts (Triangular Trade Trilogy, #1)"
In stock,£20.66,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,star-rating Four,Shakespeare's Sonnets
In stock,£17.46,https://books.toscrape.com/catalogue/set-me-free_988/index.html,star-rating Five,Set Me Free
In stock,£52.29,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,star-rating Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
In stock,£35.02,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,star-rating Five,Rip it Up and Start Again
In stock,£57.25,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,star-rating Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
In stock,£23.88,https://books.toscrape.com/catalogue/olio_984/index.html,star-rating One,Olio
In stock,£37.59,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,star-rating One,Mesaerion: The Best Science Fiction Stories 1800-1849
In stock,£51.33,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,star-rating Two,Libertarianism for Beginners
In stock,£45.17,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,star-rating Two,It's Only the Himalayas
In stock,£12.84,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,star-rating One,In Her Wake
In stock,£37.32,https://books.toscrape.com/catalogue/how-music-works_979/index.html,star-rating Two,How Music Works
In stock,£30.52,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,star-rating Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
In stock,£25.27,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,star-rating Five,Chase Me (Paris Nights #2)
In stock,£34.53,https://books.toscrape.com/catalogue/black-dust_976/index.html,star-rating Five,Black Dust
In stock,£54.64,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,star-rating Three,Birdsong: A Story in Pictures
In stock,£22.50,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,star-rating Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
In stock,£53.13,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,star-rating Three,Aladdin and His Wonderful Lamp
In stock,£40.30,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,star-rating Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
In stock,£44.18,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,star-rating Four,Wall and Piece
In stock,£17.66,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,star-rating Five,The Four Agreements: A Practical Guide to Personal Freedom
In stock,£31.05,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,star-rating Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
In stock,£23.82,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,star-rating Five,The Elephant Tree
In stock,£36.89,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,star-rating One,The Bear and the Piano
In stock,£15.94,https://books.toscrape.com/catalogue/sophies-world_966/index.html,star-rating Five,Sophie's World
In stock,£33.29,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,star-rating Three,Penny Maybe
In stock,£18.02,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,star-rating Two,Maude (1883-1993):She Grew Up with the country
In stock,£19.63,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,star-rating One,"In a Dark, Dark Wood"
In stock,£52.22,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,star-rating Four,Behind Closed Doors
In stock,£33.63,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,star-rating Two,You can't bury them all: Poems
In stock,£57.31,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,star-rating Three,Slow States of Collapse: Poems
In stock,£26.41,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,star-rating Two,Reasons to Stay Alive
